Fecha,"Pedido #",Estado,Cliente,Producto(s),"Artículos vendidos",Cupón(es),"Ingresos netos"
"2020-03-02 15:56:14",6052,on-hold,new,"300× Cubiertas Metálicas",300,,300
"2020-03-02 15:28:47",6049,on-hold,new,"4× Tubería Estructural, 4× Tubería Estructural, 6× Tubería Estructural, 4× Perfiles en C (Perlines) GR50 y A36., 1× Lamina HR (Hot Rolled), 1× Lamina HR (Hot Rolled), 1× Tubería Estructural",21,,21
"2020-03-02 11:17:09",6046,on-hold,new,"42× Cubiertas Metálicas",42,,42
"2020-03-02 11:03:14",6043,on-hold,new,"2× Perfiles en C (Perlines) GR50 y A36.",2,,2
"2020-02-29 16:15:23",6034,on-hold,new,"1× Teja Trapezoidal Pintada",1,,0
"2020-02-28 13:05:41",6031,on-hold,new,"100× Lamina Galvanizada",100,,100
"2020-02-27 14:11:11",6021,on-hold,new,"1× Cubiertas Metálicas, 20× Cubiertas Metálicas",21,,21
"2020-02-27 10:06:35",6016,on-hold,new,"55× Lamina CR (Cold Rolled)",55,,55
"2020-02-27 09:47:39",6013,on-hold,new,"1× Lamina Alfajor, 1× Lamina Alfajor",2,,2
"2020-02-26 14:34:52",6000,on-hold,new,"4× Canal Pecho Paloma",4,,4
"2020-02-26 14:22:55",5997,on-hold,new,"1× Lamina Galvanizada",1,,1
"2020-02-26 14:21:43",5994,on-hold,new,"1× Lamina Galvanizada",1,,1
"2020-02-26 06:34:13",5991,on-hold,new,"6× Teja Trapezoidal Pintada",6,,0
"2020-02-25 20:17:21",5983,on-hold,new,"30× Varillas Cuadradas",30,,30
"2020-02-25 18:42:34",5981,on-hold,new,"1× Perfiles en C (Perlines) GR50 y A36.",1,,1
"2020-02-25 13:00:14",5975,on-hold,new,"1× Tubería Estructural",1,,1
"2020-02-24 21:01:54",5971,on-hold,new,"60× Teja Trapezoidal Pintada",60,,0
"2020-02-24 14:28:30",5957,on-hold,new,"2× Ángulos",2,,2
"2020-02-24 10:23:34",5955,on-hold,new,"1× Cubiertas Metálicas, 1× Cubiertas Metálicas, 1× Teja Trapezoidal Pintada",3,,2
"2020-02-23 16:53:34",5953,on-hold,new,"1× Varilla Torsionada, 1× Varilla Torsionada",2,,2
"2020-02-22 21:24:58",5949,on-hold,new,"6× Teja Trapezoidal Pintada",6,,0
"2020-02-22 16:27:25",5947,on-hold,new,"1× Lamina HR (Hot Rolled)",1,,1
"2020-02-21 19:34:51",5945,on-hold,new,"1× Tubería de Cerramiento Galvanizado, 1× Tubería de Cerramiento Galvanizado",2,,2
"2020-02-21 18:58:25",5943,on-hold,new,"27× Tubería Estructural",27,,27
"2020-02-21 10:41:07",5937,completed,new,"1× Sistema Placa Fácil",1,,0
"2020-02-21 10:03:10",5935,completed,new,"4× Lamina HR (Hot Rolled)",4,,4
"2020-02-19 19:19:43",5929,completed,new,"28× Teja Trapezoidal Pintada",28,,0
